RH;MRdpr;MRarb;RCH
102.5;0.647;0.986;40.8
97.5;0.648;0.993;38.1
92.5;0.649;0.999;35.3
87.5;0.651;1.006;32.5
82.5;0.652;1.012;29.8
77.5;0.653;1.019;27
72.5;0.655;1.026;24.2
67.5;0.656;1.033;21.5
62.5;0.658;1.039;18.7
57.5;0.659;1.045;16
52.5;0.66;1.051;13.2
47.5;0.662;1.057;10.5
42.5;0.663;1.062;7.8
37.5;0.665;1.067;5.2
32.5;0.666;1.071;2.6
27.5;0.667;1.075;-0.1
22.5;0.669;1.078;-2.6
17.5;0.67;1.081;-5.2
12.5;0.671;1.082;-7.7
7.5;0.673;1.083;-10.1
2.5;0.674;1.083;-12.6
